source|relation|target
Sprachdidaktik (Grammatikunterricht und seine Konzepte)|Dozent|Max-Emanuel Noack
Sprachdidaktik (Grammatikunterricht und seine Konzepte)|Veranstaltung von|Professur Didaktik der deutschen Sprache und Literatur
Sprachdidaktik (Neuere Konzepte des Schreibunterrichts)|Vorlesungsnummer|40516
Sprachdidaktik (Neuere Konzepte des Schreibunterrichts)|Veranstaltungsart|Seminar
Sprachdidaktik (Neuere Konzepte des Schreibunterrichts)|Dozent|Stephanie Lüthgens
Sprachdidaktik (Neuere Konzepte des Schreibunterrichts)|Veranstaltung von|Professur Didaktik der deutschen Sprache und Literatur
Sprachdidaktik (Rechtschreibunterricht in Theorie und Praxis)|Vorlesungsnummer|40513
Sprachdidaktik (Rechtschreibunterricht in Theorie und Praxis)|Veranstaltungsart|Seminar
Sprachdidaktik (Rechtschreibunterricht in Theorie und Praxis)|Dozent|Stephanie Lüthgens
Sprachdidaktik (Rechtschreibunterricht in Theorie und Praxis)|Veranstaltung von|Professur Didaktik der deutschen Sprache und Literatur
Sprachwissenschaftliches Propädeutikum, Online-Kurs (VHB-Repetitorium)|Vorlesungsnummer|40375
Sprachwissenschaftliches Propädeutikum, Online-Kurs (VHB-Repetitorium)|Veranstaltungsart|Propädeutikum
Sprachwissenschaftliches Propädeutikum, Online-Kurs (VHB-Repetitorium)|Dozent|Karin Birkner
Sprachwissenschaftliches Propädeutikum, Online-Kurs (VHB-Repetitorium)|Veranstaltung von|Germanistische Linguistik
Studium Generale|Vorlesungsnummer|40391
Studium Generale|Veranstaltungsart|Seminar
Studium Generale|Dozent|Karin Birkner
Studium Generale|Veranstaltung von|Germanistische Linguistik
Survey American Literary and Cultural History (Colonial Period and Early Republic)|Vorlesungsnummer|41101
Survey American Literary and Cultural History (Colonial Period and Early Republic)|Veranstaltungsart|Vorlesung
Survey American Literary and Cultural History (Colonial Period and Early Republic)|Dozent|Sylvia Mayer
Survey American Literary and Cultural History (Colonial Period and Early Republic)|Veranstaltung von|Lehrstuhl Anglophone Literaturen und Kulturen
Survey: Introduction to British & Anglophone Literature (African Literatures)|Vorlesungsnummer|4118B
Survey: Introduction to British & Anglophone Literature (African Literatures)|Veranstaltungsart|Vorlesung
Survey: Introduction to British & Anglophone Literature (African Literatures)|Dozent|Susan Arndt
Survey: Introduction to British & Anglophone Literature (African Literatures)|Veranstaltung von|Professur Englische Literaturwissenschaft und anglophone Literaturen
Szenen und Narrative sozialer Mobilität|Vorlesungsnummer|41005
Szenen und Narrative sozialer Mobilität|Veranstaltungsart|Hauptseminar
Szenen und Narrative sozialer Mobilität|Dozent|Stephan Trinkaus
Szenen und Narrative sozialer Mobilität|Veranstaltung von|Medienwissenschaft
Techniken, Theorien und Methoden der Sprachwissenschaft|Vorlesungsnummer|40352
Techniken, Theorien und Methoden der Sprachwissenschaft|Veranstaltungsart|Seminar
Techniken, Theorien und Methoden der Sprachwissenschaft|Dozent|Andrea Bachmann-Stein
Techniken, Theorien und Methoden der Sprachwissenschaft|Veranstaltung von|Germanistische Linguistik
Theater schreiben (Re-working Shakespeares Der Sturm)|Vorlesungsnummer|40660
Theater schreiben (Re-working Shakespeares Der Sturm)|Veranstaltungsart|Übung
Theater schreiben (Re-working Shakespeares Der Sturm)|Dozent|Cynthia Kade
Theater schreiben (Re-working Shakespeares Der Sturm)|Veranstaltung von|MusikTheater
Theatergeschichte und -ästhetik (Die Delsarte-Schauspieltechnik in Theater und Film)|Vorlesungsnummer|40652
Theatergeschichte und -ästhetik (Die Delsarte-Schauspieltechnik in Theater und Film)|Veranstaltungsart|Seminar
Theatergeschichte und -ästhetik (Die Delsarte-Schauspieltechnik in Theater und Film)|Dozent|Mathias Spohr
Theatergeschichte und -ästhetik (Die Delsarte-Schauspieltechnik in Theater und Film)|Veranstaltung von|MusikTheater
Theatergeschichte und -ästhetik (Schauspieltheorie(n) - ONLINE KURS)|Vorlesungsnummer|40651
Theatergeschichte und -ästhetik (Schauspieltheorie(n) - ONLINE KURS)|Veranstaltungsart|Seminar
Theatergeschichte und -ästhetik (Schauspieltheorie(n) - ONLINE KURS)|Dozent|Wolf-Dieter Ernst
Theatergeschichte und -ästhetik (Schauspieltheorie(n) - ONLINE KURS)|Veranstaltung von|MusikTheater
Theaterinstituion und Praktikum (Einführung ins Kulturmanagement - ONLINE KURS)|Vorlesungsnummer|40658
Theaterinstituion und Praktikum (Einführung ins Kulturmanagement - ONLINE KURS)|Veranstaltungsart|Seminar
Theaterinstituion und Praktikum (Einführung ins Kulturmanagement - ONLINE KURS)|Dozent|Wolf-Dieter Ernst
Theaterinstituion und Praktikum (Einführung ins Kulturmanagement - ONLINE KURS)|Veranstaltung von|MusikTheater
Theaterlabor (ONLINE)|Vorlesungsnummer|40659
Theaterlabor (ONLINE)|Veranstaltungsart|Übung
Theaterlabor (ONLINE)|Dozent|Wolf-Dieter Ernst
Theaterlabor (ONLINE)|Veranstaltung von|MusikTheater
Theaterpraxis: Körper und Raum (NEUER TERMIN 22-27. SEPTEMBER)|Vorlesungsnummer|40653
Theaterpraxis: Körper und Raum (NEUER TERMIN 22-27. SEPTEMBER)|Veranstaltungsart|Übung
Theaterpraxis: Körper und Raum (NEUER TERMIN 22-27. SEPTEMBER)|Dozent|Mirjam Dirks
Theaterpraxis: Körper und Raum (NEUER TERMIN 22-27. SEPTEMBER)|Veranstaltung von|MusikTheater
Thematic course 1: Comparative Linguistics|Vorlesungsnummer|40313
Thematic course 1: Comparative Linguistics|Veranstaltungsart|Seminar
Thematic course 1: Comparative Linguistics|Dozent|Gabriele Sommer
Thematic course 1: Comparative Linguistics|Veranstaltung von|Lehrstuhl Afrikanistik I
Theorie und Praxis: Methoden der Literaturwissenschaften|Vorlesungsnummer|40410
Theorie und Praxis: Methoden der Literaturwissenschaften|Veranstaltungsart|Seminar
Theorie und Praxis: Methoden der Literaturwissenschaften|Dozent|Susanne Knaeble
Theorie und Praxis: Methoden der Literaturwissenschaften|Veranstaltung von|Lehrstuhl Ältere Deutsche Philologie
Theorien und Methoden|Vorlesungsnummer|41255
Theorien und Methoden|Veranstaltungsart|Seminar
Theorien und Methoden|Dozent|Martina Drescher
Theorien und Methoden|Veranstaltung von|Romanische und Allgemeine Sprachwissenschaft
Theorien und Methoden der Literaturwissenschaft|Vorlesungsnummer|41200
Theorien und Methoden der Literaturwissenschaft|Veranstaltungsart|Seminar
Theorien und Methoden der Literaturwissenschaft|Dozent|Ute Fendler
Theorien und Methoden der Literaturwissenschaft|Veranstaltung von|Lehrstuhl Romanische Literaturwissenschaft und Komparatistik
Thesis Development / Colloquium|Vorlesungsnummer|40325
Thesis Development / Colloquium|Veranstaltungsart|Kurs
Thesis Development / Colloquium|Dozent|Katharina Fink
Thesis Development / Colloquium|Veranstaltung von|Lehrstuhl Afrikanistik I
Translation and Transcultural Literature|Vorlesungsnummer|00489
Translation and Transcultural Literature|Veranstaltungsart|Seminar
Translation and Transcultural Literature|Dozent|Ifeoluwa Aboluwade
Translation and Transcultural Literature|Veranstaltung von|Professur Englische Literaturwissenschaft und anglophone Literaturen
Tutorium|Vorlesungsnummer|40585
Tutorium|Veranstaltungsart|Tutorium
Tutorium|Dozent|Yomb May
Tutorium|Veranstaltung von|Lehrstuhl Interkulturelle Germanistik
Tutorium (Aufzeichnungssichtung)|Vorlesungsnummer|40663
Tutorium (Aufzeichnungssichtung)|Veranstaltungsart|Tutorium
Tutorium (Aufzeichnungssichtung)|Dozent|Oliver Maaßberg
Tutorium (Aufzeichnungssichtung)|Veranstaltung von|MusikTheater
T16 Musical / Operette (Konventionen und soziopolitische Hintergründe des U.S.-amerikanischen Musicals)|Vorlesungsnummer|00042
T16 Musical / Operette (Konventionen und soziopolitische Hintergründe des U.S.-amerikanischen Musicals)|Veranstaltungsart|Seminar
T16 Musical / Operette (Konventionen und soziopolitische Hintergründe des U.S.-amerikanischen Musicals)|Dozent|Fak4_MT (N.N. (Fak4_MT))
T16 Musical / Operette (Konventionen und soziopolitische Hintergründe des U.S.-amerikanischen Musicals)|Veranstaltung von|MusikTheater
Übung (Digital Data Management)|Vorlesungsnummer|41192
Übung (Digital Data Management)|Veranstaltungsart|Übung
Übung (Digital Data Management)|Dozent|Susanne Mühleisen
Übung (Digital Data Management)|Veranstaltung von|Lehrstuhl Englische Sprachwissenschaft
Understanding Afropolitan Media I-II: Aethetics & Espistemologies|Vorlesungsnummer|41006
Understanding Afropolitan Media I-II: Aethetics & Espistemologies|Veranstaltungsart|Hauptseminar
Understanding Afropolitan Media I-II: Aethetics & Espistemologies|Dozent|Ivo Ritzer
Understanding Afropolitan Media I-II: Aethetics & Espistemologies|Veranstaltung von|Medienwissenschaft
Vertiefungsmodul (Interkulturelle Linguistik)|Vorlesungsnummer|40593
Vertiefungsmodul (Interkulturelle Linguistik)|Veranstaltungsart|Seminar
Vertiefungsmodul (Interkulturelle Linguistik)|Dozent|Veronika Künkel
Vertiefungsmodul (Interkulturelle Linguistik)|Veranstaltung von|Lehrstuhl Interkulturelle Germanistik
Vorbereitung für die Erste Lehramtsprüfung (Englische/Amerikanische Literaturwissenschaft (Englische Literatur)|Vorlesungsnummer|4118A
Vorbereitung für die Erste Lehramtsprüfung (Englische/Amerikanische Literaturwissenschaft (Englische Literatur)|Veranstaltungsart|Übung
Vorbereitung für die Erste Lehramtsprüfung (Englische/Amerikanische Literaturwissenschaft (Englische Literatur)|Dozent|Susan Arndt
Vorbereitung für die Erste Lehramtsprüfung (Englische/Amerikanische Literaturwissenschaft (Englische Literatur)|Veranstaltung von|Professur Englische Literaturwissenschaft und anglophone Literaturen
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Vorlesungsnummer|41115
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Veranstaltungsart|Seminar
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Dozent|Sylvia Fehling
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Veranstaltung von|Fachdidaktik Englisch
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Vorlesungsnummer|41114
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Veranstaltungsart|Seminar
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Dozent|Sylvia Fehling
Vorbereitung für die Erste Lehramtsprüfung: Fachdidaktik Englisch|Veranstaltung von|Fachdidaktik Englisch
Vorbereitungskurs für Staatsexamen (Vorbereitungskurs Englische Sprachwissenschaft (für die Erste Lehramtsprüfung)|Vorlesungsnummer|41194
Vorbereitungskurs für Staatsexamen (Vorbereitungskurs Englische Sprachwissenschaft (für die Erste Lehramtsprüfung)|Veranstaltungsart|Übung
Vorbereitungskurs für Staatsexamen (Vorbereitungskurs Englische Sprachwissenschaft (für die Erste Lehramtsprüfung)|Dozent|Eric Anchimbe
Vorbereitungskurs für Staatsexamen (Vorbereitungskurs Englische Sprachwissenschaft (für die Erste Lehramtsprüfung)|Veranstaltung von|Lehrstuhl Englische Sprachwissenschaft
Vorbereitungskurs Staatsexamen für Lehramtskandidaten (Seminar für die erste Lehramtsprüfung, LA für Gymnasium und Realschule)|Vorlesungsnummer|40430
Vorbereitungskurs Staatsexamen für Lehramtskandidaten (Seminar für die erste Lehramtsprüfung, LA für Gymnasium und Realschule)|Veranstaltungsart|Übung
Vorbereitungskurs Staatsexamen für Lehramtskandidaten (Seminar für die erste Lehramtsprüfung, LA für Gymnasium und Realschule)|Dozent|Silvan Wagner
Vorbereitungskurs Staatsexamen für Lehramtskandidaten (Seminar für die erste Lehramtsprüfung, LA für Gymnasium und Realschule)|Veranstaltung von|Lehrstuhl Ältere Deutsche Philologie
Vorlesung I (Hartmann von Aue )|Vorlesungsnummer|40420
Vorlesung I (Hartmann von Aue )|Veranstaltungsart|Vorlesung
Vorlesung I (Hartmann von Aue )|Dozent|Silvan Wagner
Vorlesung I (Hartmann von Aue )|Veranstaltung von|Lehrstuhl Ältere Deutsche Philologie
Vorlesung II (Alexander der Große. Die historische Figur, die volkssprachlichen Alexanderepen und die Alexander-Ikonograpie)|Vorlesungsnummer|40419
Vorlesung II (Alexander der Große. Die historische Figur, die volkssprachlichen Alexanderepen und die Alexander-Ikonograpie)|Veranstaltungsart|Vorlesung
Vorlesung II (Alexander der Große. Die historische Figur, die volkssprachlichen Alexanderepen und die Alexander-Ikonograpie)|Dozent|Norbert Ott
Vorlesung II (Alexander der Große. Die historische Figur, die volkssprachlichen Alexanderepen und die Alexander-Ikonograpie)|Veranstaltung von|Lehrstuhl Ältere Deutsche Philologie
Vorlesung Literaturdidaktik (Konzepte der Literaturdidaktik - ein Überblick)|Vorlesungsnummer|40500
Vorlesung Literaturdidaktik (Konzepte der Literaturdidaktik - ein Überblick)|Veranstaltungsart|Vorlesung
Vorlesung Literaturdidaktik (Konzepte der Literaturdidaktik - ein Überblick)|Dozent|Gabriela Paule
Vorlesung Literaturdidaktik (Konzepte der Literaturdidaktik - ein Überblick)|Veranstaltung von|Professur Didaktik der deutschen Sprache und Literatur
Was ist Islam? Islamwissenschaft und Gesellschaftswissenschaften im postmodernen Zeitalter|Vorlesungsnummer|00351
Was ist Islam? Islamwissenschaft und Gesellschaftswissenschaften im postmodernen Zeitalter|Veranstaltungsart|Seminar
Was ist Islam? Islamwissenschaft und Gesellschaftswissenschaften im postmodernen Zeitalter|Dozent|Ismail Warscheid
Was ist Islam? Islamwissenschaft und Gesellschaftswissenschaften im postmodernen Zeitalter|Veranstaltung von|Lehrstuhl Islamwissenschaft
Working on Language Samples: Analysing Texts for isiXhosa Online|Vorlesungsnummer|40235
Working on Language Samples: Analysing Texts for isiXhosa Online|Veranstaltungsart|Seminar
Working on Language Samples: Analysing Texts for isiXhosa Online|Dozent|Gabriele Sommer
Working on Language Samples: Analysing Texts for isiXhosa Online|Veranstaltung von|Afrikanistik
Writing for Special Purposes|Vorlesungsnummer|40122
Writing for Special Purposes|Veranstaltungsart|Seminar
Writing for Special Purposes|Dozent|Irina Turner
Writing for Special Purposes|Veranstaltung von|African Linguistics and Literatures
Zusatzleistung Multi-Media Kompetenz|Vorlesungsnummer|40970
Zusatzleistung Multi-Media Kompetenz|Veranstaltungsart|Übung
Zusatzleistung Multi-Media Kompetenz|Dozent|Jochen Koubek
Zusatzleistung Multi-Media Kompetenz|Veranstaltung von|Medienwissenschaft
3D-Grafik|Vorlesungsnummer|40905
3D-Grafik|Veranstaltungsart|Übung
3D-Grafik|Dozent|Eva-Maria Stutz
3D-Grafik|Veranstaltung von|Medienwissenschaft
Actors in Development Politics (Governing Change in the Extractive Sector in Africa)|Vorlesungsnummer|56330
Actors in Development Politics (Governing Change in the Extractive Sector in Africa)|Veranstaltungsart|Hauptseminar
Actors in Development Politics (Governing Change in the Extractive Sector in Africa)|Dozent|Sarah Katz-Lavigne
Actors in Development Politics (Governing Change in the Extractive Sector in Africa)|Veranstaltung von|Chair for Sociology of Africa - Prof. Dr. Jana Hönke
African History Research Seminar|Vorlesungsnummer|55509
African History Research Seminar|Veranstaltungsart|Seminar
African History Research Seminar|Dozent|Konstantinos Katsakioris
African History Research Seminar|Veranstaltung von|Professur für die Geschichte Afrikas II
Aktuelle Forschungsansätze zum Christentum in Afrika|Vorlesungsnummer|53012
Aktuelle Forschungsansätze zum Christentum in Afrika|Veranstaltungsart|Seminar
Aktuelle Forschungsansätze zum Christentum in Afrika|Dozent|Fak5L_JPRmSA (Dr. Katharina Wilkens)
Aktuelle Forschungsansätze zum Christentum in Afrika|Veranstaltung von|Juniorprofessur Religionswissenschaft mit Schwerpunkt Afrika
Alterity and Identity|Vorlesungsnummer|54040
Alterity and Identity|Veranstaltungsart|Seminar
Alterity and Identity|Dozent|Kurt Beck
Alterity and Identity|Veranstaltung von|Facheinheit Ethnologie
American Attraction? Der Einfluss US-amerikanischer Vorstellungen von Bildung auf die bundesrepublikanische (Reform-)Pädagogik|Vorlesungsnummer|51047
American Attraction? Der Einfluss US-amerikanischer Vorstellungen von Bildung auf die bundesrepublikanische (Reform-)Pädagogik|Veranstaltungsart|Seminar
American Attraction? Der Einfluss US-amerikanischer Vorstellungen von Bildung auf die bundesrepublikanische (Reform-)Pädagogik|Dozent|Christina Hofmann
American Attraction? Der Einfluss US-amerikanischer Vorstellungen von Bildung auf die bundesrepublikanische (Reform-)Pädagogik|Veranstaltung von|Lehrstuhl Psychologie
Analyse paläontologischer Daten|Vorlesungsnummer|50619
Analyse paläontologischer Daten|Veranstaltungsart|Übung
Analyse paläontologischer Daten|Dozent|Manuel Steinbauer
Analyse paläontologischer Daten|Veranstaltung von|Sportwissenschaft I
Ancestors in Africa and beyond (English on demand)|Vorlesungsnummer|53003
Ancestors in Africa and beyond (English on demand)|Veranstaltungsart|Seminar
Ancestors in Africa and beyond (English on demand)|Dozent|Fak5L_JPRmSA (Dr. Katharina Wilkens)
Ancestors in Africa and beyond (English on demand)|Veranstaltung von|Juniorprofessur Religionswissenschaft mit Schwerpunkt Afrika
Angewandte Sportwissenschaft|Vorlesungsnummer|06047
Angewandte Sportwissenschaft|Veranstaltungsart|Seminar
Angewandte Sportwissenschaft|Dozent|Peter Kuhn
Angewandte Sportwissenschaft|Veranstaltung von|Lehrstuhl für Sozial- und Gesundheitswissenschaften des Sports
Angewandte Sportwissenschaft (Gesundheit und Fitness)|Vorlesungsnummer|00646
Angewandte Sportwissenschaft (Gesundheit und Fitness)|Veranstaltungsart|Seminar
Angewandte Sportwissenschaft (Gesundheit und Fitness)|Dozent|Katharina Ptack
Angewandte Sportwissenschaft (Gesundheit und Fitness)|Veranstaltung von|Lehrstuhl für Sozial- und Gesundheitswissenschaften des Sports
Anthropology of Global Inequalities|Vorlesungsnummer|00627
Anthropology of Global Inequalities|Veranstaltungsart|Kolloquium
Anthropology of Global Inequalities|Dozent|Katharina Schramm
Anthropology of Global Inequalities|Veranstaltung von|Facheinheit Ethnologie
Auffälligkeiten im Erleben und Verhalten bei Jugendlichen|Vorlesungsnummer|51021
Auffälligkeiten im Erleben und Verhalten bei Jugendlichen|Veranstaltungsart|Seminar
Auffälligkeiten im Erleben und Verhalten bei Jugendlichen|Dozent|Swetlana Fork
Auffälligkeiten im Erleben und Verhalten bei Jugendlichen|Veranstaltung von|Lehrstuhl Psychologie
Ayurveda|Vorlesungsnummer|00218
Ayurveda|Veranstaltungsart|Hauptseminar
Ayurveda|Dozent|Oliver Schill
Ayurveda|Veranstaltung von|Sportwissenschaft IV
Badminton K 1/2|Vorlesungsnummer|57055
Badminton K 1/2|Veranstaltungsart|Hauptseminar
Badminton K 1/2|Dozent|Annika Rupp
Badminton K 1/2|Veranstaltung von|Sportwissenschaft IV
Badminton K 3/4|Vorlesungsnummer|57059
Badminton K 3/4|Veranstaltungsart|Hauptseminar
Badminton K 3/4|Dozent|Stefan Frühhaber
Badminton K 3/4|Veranstaltung von|Sportwissenschaft IV
Basketball K 1/2|Vorlesungsnummer|57061
Basketball K 1/2|Veranstaltungsart|Hauptseminar
Basketball K 1/2|Dozent|Uwe Scholz
Basketball K 1/2|Veranstaltung von|Sportwissenschaft IV
Bedeutende Persönlichkeiten der Ethnologie und ihr Werk (Geschichte und Debatten der Sozial- und Kulturanthropologie)|Vorlesungsnummer|54009
Bedeutende Persönlichkeiten der Ethnologie und ihr Werk (Geschichte und Debatten der Sozial- und Kulturanthropologie)|Veranstaltungsart|Seminar
Bedeutende Persönlichkeiten der Ethnologie und ihr Werk (Geschichte und Debatten der Sozial- und Kulturanthropologie)|Dozent|Katharina Schramm
Bedeutende Persönlichkeiten der Ethnologie und ihr Werk (Geschichte und Debatten der Sozial- und Kulturanthropologie)|Veranstaltung von|Facheinheit Ethnologie
Begleitseminar Bachelorarbeit|Vorlesungsnummer|53019
Begleitseminar Bachelorarbeit|Veranstaltungsart|Seminar
Begleitseminar Bachelorarbeit|Dozent|Stefan Schröder
Begleitseminar Bachelorarbeit|Veranstaltung von|Lehrstuhl für Religionswissenschaft mit  besonderer Berücksichtigung der religiösen Gegenwartskultur
Berufs- und Arbeitskunde (BA 1) (Grundzüge des berufsbildenden Schulwesens)|Vorlesungsnummer|52116
Berufs- und Arbeitskunde (BA 1) (Grundzüge des berufsbildenden Schulwesens)|Veranstaltungsart|Vorlesung
Berufs- und Arbeitskunde (BA 1) (Grundzüge des berufsbildenden Schulwesens)|Dozent|Manfred Müller
Berufs- und Arbeitskunde (BA 1) (Grundzüge des berufsbildenden Schulwesens)|Veranstaltung von|Lehrstuhl für Schulpädagogik
Berufspraktikum: Nachbereitung (Praktikumsnachbereitung)|Vorlesungsnummer|54025
Berufspraktikum: Nachbereitung (Praktikumsnachbereitung)|Veranstaltungsart|Seminar
Berufspraktikum: Nachbereitung (Praktikumsnachbereitung)|Dozent|Anna Madeleine Ayeh
Berufspraktikum: Nachbereitung (Praktikumsnachbereitung)|Veranstaltung von|Facheinheit Ethnologie
Berufsqualifikation Master|Vorlesungsnummer|56111
Berufsqualifikation Master|Veranstaltungsart|Praktikum
Berufsqualifikation Master|Dozent|Andreas Kögel
Berufsqualifikation Master|Veranstaltung von|Professur Politische Soziologie
Bewegungsbezogene Gesundheitsförderung und Public Health|Vorlesungsnummer|57067
Bewegungsbezogene Gesundheitsförderung und Public Health|Veranstaltungsart|Vorlesung
Bewegungsbezogene Gesundheitsförderung und Public Health|Dozent|Susanne Tittlbach
Bewegungsbezogene Gesundheitsförderung und Public Health|Veranstaltung von|Lehrstuhl für Sozial- und Gesundheitswissenschaften des Sports
Bioethics (P2*)|Vorlesungsnummer|50411
Bioethics (P2*)|Veranstaltungsart|Seminar
Bioethics (P2*)|Dozent|Wesley Sauret
Bioethics (P2*)|Veranstaltung von|Professur Erkenntnistheorie
Biomechanik des Bewegungsapparates|Vorlesungsnummer|00012
Biomechanik des Bewegungsapparates|Veranstaltungsart|Vorlesung & Übung
Biomechanik des Bewegungsapparates|Dozent|Michael Frisch
Biomechanik des Bewegungsapparates|Veranstaltung von|Sportwissenschaft I
Biomechanische Modelle|Vorlesungsnummer|00199
Biomechanische Modelle|Veranstaltungsart|Hauptseminar
Biomechanische Modelle|Dozent|Michael Frisch
Biomechanische Modelle|Veranstaltung von|Sportwissenschaft I
Cardiotraining|Vorlesungsnummer|57056
Cardiotraining|Veranstaltungsart|Hauptseminar
Cardiotraining|Dozent|Wolfgang Buskies
Cardiotraining|Veranstaltung von|Sportwissenschaft IV
Conflict and Conflict Resolution (Doktorandenkolloquium)|Vorlesungsnummer|54050
Conflict and Conflict Resolution (Doktorandenkolloquium)|Veranstaltungsart|Seminar
Conflict and Conflict Resolution (Doktorandenkolloquium)|Dozent|Georg Klute
Conflict and Conflict Resolution (Doktorandenkolloquium)|Veranstaltung von|Facheinheit Ethnologie
Corporate Governance und Unternehmensethik|Vorlesungsnummer|50107
Corporate Governance und Unternehmensethik|Veranstaltungsart|Seminar
Corporate Governance und Unternehmensethik|Dozent|Alexander Brink
Corporate Governance und Unternehmensethik|Veranstaltung von|Professur Wirtschafts- und Unternehmensethik
Decision Theory I (V2 / P4)|Vorlesungsnummer|50135
Decision Theory I (V2 / P4)|Veranstaltungsart|Vorlesung
Decision Theory I (V2 / P4)|Dozent|Stefan Napel
Decision Theory I (V2 / P4)|Veranstaltung von|Lehrstuhl Philosophie I
Development Theories / Theorien der Entwicklung|Vorlesungsnummer|56201
Development Theories / Theorien der Entwicklung|Veranstaltungsart|Seminar
Development Theories / Theorien der Entwicklung|Dozent|Alzbeta Svablova
Development Theories / Theorien der Entwicklung|Veranstaltung von|Chair for Sociology of Africa - Prof. Dr. Jana Hönke
Die moderne Gesellschaft. Historisches Grundwissen für das Studium der Soziologie|Vorlesungsnummer|56127
Die moderne Gesellschaft. Historisches Grundwissen für das Studium der Soziologie|Veranstaltungsart|Seminar
Die moderne Gesellschaft. Historisches Grundwissen für das Studium der Soziologie|Dozent|Eva-Maria Ziege
Die moderne Gesellschaft. Historisches Grundwissen für das Studium der Soziologie|Veranstaltung von|Professur Politische Soziologie
Digitale Soziologie|Vorlesungsnummer|56417
Digitale Soziologie|Veranstaltungsart|Seminar
Digitale Soziologie|Dozent|Tom Kaden
Digitale Soziologie|Veranstaltung von|Lehrstuhl Kultur- und Religionssoziologie
Digitalisierte Anwendungen im Sport|Vorlesungsnummer|57022
Digitalisierte Anwendungen im Sport|Veranstaltungsart|Kurs
Digitalisierte Anwendungen im Sport|Dozent|Ulrich Fehr
Digitalisierte Anwendungen im Sport|Veranstaltung von|Sportwissenschaft I
Einführung in den Buddhismus|Vorlesungsnummer|53068
Einführung in den Buddhismus|Veranstaltungsart|Seminar
Einführung in den Buddhismus|Dozent|Christoph Bochinger
Einführung in den Buddhismus|Veranstaltung von|Lehrstuhl für Religionswissenschaft mit  besonderer Berücksichtigung der religiösen Gegenwartskultur
Einführung in die Diskursanalyse (mit praktischen Übungen)|Vorlesungsnummer|56138
Einführung in die Diskursanalyse (mit praktischen Übungen)|Veranstaltungsart|Kurs
Einführung in die Diskursanalyse (mit praktischen Übungen)|Dozent|Eva-Maria Ziege
Einführung in die Diskursanalyse (mit praktischen Übungen)|Veranstaltung von|Professur Politische Soziologie
Einführung in die Familiensoziologie|Vorlesungsnummer|56109
Einführung in die Familiensoziologie|Veranstaltungsart|Seminar
Einführung in die Familiensoziologie|Dozent|Georg Kamphausen
Einführung in die Familiensoziologie|Veranstaltung von|Professur Politische Soziologie
Einführung in die Fragebogenkonstruktion|Vorlesungsnummer|56156
Einführung in die Fragebogenkonstruktion|Veranstaltungsart|Seminar
Einführung in die Fragebogenkonstruktion|Dozent|Andreas Kögel
Einführung in die Fragebogenkonstruktion|Veranstaltung von|Professur Politische Soziologie
Einführung in die Geschichtsdidaktik Teil I (Einführung in die Geschichtsdidaktik Teil I)|Vorlesungsnummer|55600
Einführung in die Geschichtsdidaktik Teil I (Einführung in die Geschichtsdidaktik Teil I)|Veranstaltungsart|Vorlesung
Einführung in die Geschichtsdidaktik Teil I (Einführung in die Geschichtsdidaktik Teil I)|Dozent|Stefan Benz
Einführung in die Geschichtsdidaktik Teil I (Einführung in die Geschichtsdidaktik Teil I)|Veranstaltung von|Didaktik der Geschichte
Einführung in die kognitive Religionswissenschaft|Vorlesungsnummer|53014
Einführung in die kognitive Religionswissenschaft|Veranstaltungsart|Seminar
Einführung in die kognitive Religionswissenschaft|Dozent|Fak5L_JPRmSA (Dr. Katharina Wilkens)
Einführung in die kognitive Religionswissenschaft|Veranstaltung von|Juniorprofessur Religionswissenschaft mit Schwerpunkt Afrika
Einführung in die qualitative Sozialforschung (KuG AP B4a) (Ethnografie als Forschungsansatz - Einführung (Teil I)|Vorlesungsnummer|52009
Einführung in die qualitative Sozialforschung (KuG AP B4a) (Ethnografie als Forschungsansatz - Einführung (Teil I)|Veranstaltungsart|Seminar
Einführung in die qualitative Sozialforschung (KuG AP B4a) (Ethnografie als Forschungsansatz - Einführung (Teil I)|Dozent|Julia Thibaut
Einführung in die qualitative Sozialforschung (KuG AP B4a) (Ethnografie als Forschungsansatz - Einführung (Teil I)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
Einführung in SPSS|Vorlesungsnummer|00545
Einführung in SPSS|Veranstaltungsart|Seminar
Einführung in SPSS|Dozent|Gabriele Cappai
Einführung in SPSS|Veranstaltung von|Lehreinheit Empirische Sozialforschung
Einführung In SPSSPC +|Vorlesungsnummer|57206
Einführung In SPSSPC +|Veranstaltungsart|Übung
Einführung In SPSSPC +|Dozent|Markus Hörburger
Einführung In SPSSPC +|Veranstaltung von|Sportwissenschaft I
Emergence and Dynamics of Conventions and Social Norms (V4)|Vorlesungsnummer|50341
Emergence and Dynamics of Conventions and Social Norms (V4)|Veranstaltungsart|Seminar
